2026-03-18 12:25:10 | . | User: rivki | Duration: 15ms
2026-03-18 12:25:10 | Bakery.Get | User: rivki | Duration: 116ms
2026-03-18 12:25:10 | . | User: rivki | Duration: 3522ms
2026-03-18 12:25:14 | User.Get | User: rivki | Duration: 34ms
2026-03-18 12:25:14 | User.Get | User: rivki | Duration: 2ms
2026-03-18 12:25:14 | User.GetMe | User: rivki | Duration: 3ms
2026-03-18 12:25:31 | . | User: rivki | Duration: 0ms
2026-03-18 12:25:31 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 12:25:31 | . | User: rivki | Duration: 1510ms
2026-03-18 12:25:36 | Login.Login | User: unknown | Duration: 28ms
2026-03-18 12:25:37 | . | User: tamar | Duration: 0ms
2026-03-18 12:25:37 | Bakery.Get | User: tamar | Duration: 0ms
2026-03-18 12:25:37 | . | User: tamar | Duration: 1290ms
2026-03-18 12:25:38 | User.GetMe | User: tamar | Duration: 0ms
2026-03-18 12:25:44 | . | User: tamar | Duration: 0ms
2026-03-18 12:25:44 | Bakery.Get | User: tamar | Duration: 0ms
2026-03-18 12:25:44 | . | User: tamar | Duration: 302131ms
2026-03-18 12:40:12 | Login.Login | User: unknown | Duration: 71ms
2026-03-18 12:40:33 | Bakery.Get | User: tamar | Duration: 13ms
2026-03-18 12:41:19 | Login.Login | User: tamar | Duration: 0ms
2026-03-18 12:41:35 | User.Get | User: rivki | Duration: 5ms
2026-03-18 12:42:06 | Login.Login | User: rivki | Duration: 10ms
2026-03-18 12:42:23 | Bakery.Get | User: shosh | Duration: 25ms
2026-03-18 12:42:40 | Bakery.Update | User: shosh | Duration: 11ms
2026-03-18 12:49:44 | Bakery.Get | User: tamar | Duration: 0ms
2026-03-18 12:49:44 | . | User: tamar | Duration: 2ms
2026-03-18 12:49:44 | . | User: tamar | Duration: 2082ms
2026-03-18 12:49:49 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 12:49:50 | . | User: rivki | Duration: 0ms
2026-03-18 12:49:50 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 12:49:50 | . | User: rivki | Duration: 3629ms
2026-03-18 12:49:54 | User.Get | User: rivki | Duration: 0ms
2026-03-18 12:49:54 | User.Get | User: rivki | Duration: 0ms
2026-03-18 12:49:54 | User.GetMe | User: rivki | Duration: 2ms
2026-03-18 12:49:58 | . | User: rivki | Duration: 0ms
2026-03-18 12:49:58 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 12:49:59 | User.Get | User: rivki | Duration: 0ms
2026-03-18 12:49:58 | . | User: rivki | Duration: 1072ms
2026-03-18 12:49:59 | User.Get | User: rivki | Duration: 0ms
2026-03-18 12:49:59 | User.GetMe | User: rivki | Duration: 0ms
2026-03-18 12:50:23 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 12:50:24 | . | User: shosh | Duration: 0ms
2026-03-18 12:50:24 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 12:50:38 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 12:50:38 | . | User: shosh | Duration: 0ms
2026-03-18 12:50:44 | Bakery.Create | User: shosh | Duration: 38ms
2026-03-18 12:50:58 | Bakery.Create | User: shosh | Duration: 2ms
2026-03-18 12:50:38 | . | User: shosh | Duration: 61102ms
2026-03-18 12:51:43 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 12:51:44 | . | User: tamar | Duration: 0ms
2026-03-18 12:51:44 | Bakery.Get | User: tamar | Duration: 0ms
2026-03-18 12:50:24 | . | User: shosh | Duration: 82661ms
2026-03-18 12:51:48 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 12:51:49 | . | User: tamar | Duration: 0ms
2026-03-18 12:51:49 | Bakery.Get | User: tamar | Duration: 0ms
